academic_period,disability_status,qualification,estimate_pct,employment_rate
July 2013 to June 2014,Disabled,Degree or equivalent,15.9,44.188978547636076
July 2013 to June 2014,Disabled,Higher Education,8.6,44.188978547636076
July 2013 to June 2014,Disabled,GCE A level or equivalent,19,44.188978547636076
July 2013 to June 2014,Disabled,GCSE grades C and higher or equivalent,22,44.188978547636076
July 2013 to June 2014,Disabled,Other qualification,13,44.188978547636076
July 2013 to June 2014,Disabled,No qualification,21.6,44.188978547636076
July 2013 to June 2014,Non-disabled,Degree or equivalent,31.9,77.98943850309254
July 2013 to June 2014,Non-disabled,Higher Education,9.7,77.98943850309254
July 2013 to June 2014,Non-disabled,GCE A level or equivalent,21.4,77.98943850309254
July 2013 to June 2014,Non-disabled,GCSE grades C and higher or equivalent,20.5,77.98943850309254
July 2013 to June 2014,Non-disabled,Other qualification,9.4,77.98943850309254
July 2013 to June 2014,Non-disabled,No qualification,7.2,77.98943850309254
July 2014 to June 2015,Disabled,Degree or equivalent,16.9,45.8778581585171
July 2014 to June 2015,Disabled,Higher Education,8.8,45.8778581585171
July 2014 to June 2015,Disabled,GCE A level or equivalent,19.4,45.8778581585171
July 2014 to June 2015,Disabled,GCSE grades C and higher or equivalent,22.7,45.8778581585171
July 2014 to June 2015,Disabled,Other qualification,12.4,45.8778581585171
July 2014 to June 2015,Disabled,No qualification,19.8,45.8778581585171
July 2014 to June 2015,Non-disabled,Degree or equivalent,33.3,79.09710776007722
July 2014 to June 2015,Non-disabled,Higher Education,10,79.09710776007722
July 2014 to June 2015,Non-disabled,GCE A level or equivalent,20.9,79.09710776007722
July 2014 to June 2015,Non-disabled,GCSE grades C and higher or equivalent,19.7,79.09710776007722
July 2014 to June 2015,Non-disabled,Other qualification,9.2,79.09710776007722
July 2014 to June 2015,Non-disabled,No qualification,6.9,79.09710776007722
July 2015 to June 2016,Disabled,Degree or equivalent,17.9,46.7374253939308
July 2015 to June 2016,Disabled,Higher Education,8.5,46.7374253939308
July 2015 to June 2016,Disabled,GCE A level or equivalent,19.6,46.7374253939308
July 2015 to June 2016,Disabled,GCSE grades C and higher or equivalent,23.1,46.7374253939308
July 2015 to June 2016,Disabled,Other qualification,12.3,46.7374253939308
July 2015 to June 2016,Disabled,No qualification,18.7,46.7374253939308
July 2015 to June 2016,Non-disabled,Degree or equivalent,34.6,80.10551192851972
July 2015 to June 2016,Non-disabled,Higher Education,9.6,80.10551192851972
July 2015 to June 2016,Non-disabled,GCE A level or equivalent,20.7,80.10551192851972
