period,group,sex,metric,value_pct
Apr-Jun 2013,Disabled,People,In Employment,43.6340593622694
Apr-Jun 2013,Disabled,People,Unemployed,13.5145069038124
Apr-Jun 2013,Disabled,People,Economically active,50.4524606383875
Apr-Jun 2013,Disabled,People,Economically inactive,49.5475393616125
Apr-Jun 2013,Non-disabled,People,In Employment,76.7785461353267
Apr-Jun 2013,Non-disabled,People,Unemployed,7.13884688762106
Apr-Jun 2013,Non-disabled,People,Economically active,82.6810173705367
Apr-Jun 2013,Non-disabled,People,Economically inactive,17.3189826294633
Jul-Sep 2013,Disabled,People,In Employment,43.406447790389
Jul-Sep 2013,Disabled,People,Unemployed,14.5367345247779
Jul-Sep 2013,Disabled,People,Economically active,50.7895966167752
Jul-Sep 2013,Disabled,People,Economically inactive,49.2104033832249
Jul-Sep 2013,Non-disabled,People,In Employment,77.6375144579237
Jul-Sep 2013,Non-disabled,People,Unemployed,7.22648703768314
Jul-Sep 2013,Non-disabled,People,Economically active,83.6850001459564
Jul-Sep 2013,Non-disabled,People,Economically inactive,16.3149998540436
Oct-Dec 2013,Disabled,People,In Employment,44.1792042288794
Oct-Dec 2013,Disabled,People,Unemployed,13.0766957016502
Oct-Dec 2013,Disabled,People,Economically active,50.825500233219
Oct-Dec 2013,Disabled,People,Economically inactive,49.174499766781
Oct-Dec 2013,Non-disabled,People,In Employment,77.9177914761797
Oct-Dec 2013,Non-disabled,People,Unemployed,6.5093785079709
Oct-Dec 2013,Non-disabled,People,Economically active,83.3428960388533
Oct-Dec 2013,Non-disabled,People,Economically inactive,16.6571039611467
Jan-Mar 2014,Disabled,People,In Employment,44.247279782323
Jan-Mar 2014,Disabled,People,Unemployed,13.7470360622233
Jan-Mar 2014,Disabled,People,Economically active,51.2994310714275
Jan-Mar 2014,Disabled,People,Economically inactive,48.7005689285725
Jan-Mar 2014,Non-disabled,People,In Employment,78.0187164226953
Jan-Mar 2014,Non-disabled,People,Unemployed,6.01747645338884
Jan-Mar 2014,Non-disabled,People,Economically active,83.0140684443331
Jan-Mar 2014,Non-disabled,People,Economically inactive,16.9859315556669
Apr-Jun 2014,Disabled,People,In Employment,44.9229823889529
Apr-Jun 2014,Disabled,People,Unemployed,12.6538191023836
Apr-Jun 2014,Disabled,People,Economically active,51.4309634689235
Apr-Jun 2014,Disabled,People,Economically inactive,48.5690365310765
Apr-Jun 2014,Non-disabled,People,In Employment,78.3837316555715
Apr-Jun 2014,Non-disabled,People,Unemployed,5.56800554714789
Apr-Jun 2014,Non-disabled,People,Economically active,83.0054814681552
Apr-Jun 2014,Non-disabled,People,Economically inactive,16.9945185318448
Jul-Sep 2014,Disabled,People,In Employment,45.7594682177274
Jul-Sep 2014,Disabled,People,Unemployed,11.5845690889238
Jul-Sep 2014,Disabled,People,Economically active,51.7550700666154
Jul-Sep 2014,Disabled,People,Economically inactive,48.2449299333846
Jul-Sep 2014,Non-disabled,People,In Employment,79.0495434510055
Jul-Sep 2014,Non-disabled,People,Unemployed,5.69436306651497
Jul-Sep 2014,Non-disabled,People,Economically active,83.8227130651375
Jul-Sep 2014,Non-disabled,People,Economically inactive,16.1772869348625
Oct-Dec 2014,Disabled,People,In Employment,45.5496227699882
Oct-Dec 2014,Disabled,People,Unemployed,11.3487706804962
Oct-Dec 2014,Disabled,People,Economically active,51.3807006621701
Oct-Dec 2014,Disabled,People,Economically inactive,48.6192993378299
Oct-Dec 2014,Non-disabled,People,In Employment,79.1701480871019
Oct-Dec 2014,Non-disabled,People,Unemployed,4.98463238333943
Oct-Dec 2014,Non-disabled,People,Economically active,83.3235192085072
Oct-Dec 2014,Non-disabled,People,Economically inactive,16.6764807914928
Jan-Mar 2015,Disabled,People,In Employment,46.2986321318304
Jan-Mar 2015,Disabled,People,Unemployed,11.1133110962766
Jan-Mar 2015,Disabled,People,Economically active,52.0872502990614
Jan-Mar 2015,Disabled,People,Economically inactive,47.9127497009386
Jan-Mar 2015,Non-disabled,People,In Employment,78.9889402079434
Jan-Mar 2015,Non-disabled,People,Unemployed,4.93235921265485
Jan-Mar 2015,Non-disabled,People,Economically active,83.0870941508185
Jan-Mar 2015,Non-disabled,People,Economically inactive,16.9129058491815
Apr-Jun 2015,Disabled,People,In Employment,45.9037095145224
Apr-Jun 2015,Disabled,People,Unemployed,11.5300713432994
Apr-Jun 2015,Disabled,People,Economically active,51.8862287011076
Apr-Jun 2015,Disabled,People,Economically inactive,48.1137712988924
Apr-Jun 2015,Non-disabled,People,In Employment,79.1797992942581
Apr-Jun 2015,Non-disabled,People,Unemployed,4.88201369640695
Apr-Jun 2015,Non-disabled,People,Economically active,83.243771626468
Apr-Jun 2015,Non-disabled,People,Economically inactive,16.756228373532
Jul-Sep 2015,Disabled,People,In Employment,45.6141700145574
Jul-Sep 2015,Disabled,People,Unemployed,11.5728688044969
Jul-Sep 2015,Disabled,People,Economically active,51.5839080131519
Jul-Sep 2015,Disabled,People,Economically inactive,48.4160919868481
Jul-Sep 2015,Non-disabled,People,In Employment,80.1541094082931
