period,disability_status,qualification,estimate_pct
July 2013 to June 2014,Disabled people,Degree or equivalent,15.9
July 2013 to June 2014,Disabled people,Higher Education,8.6
July 2013 to June 2014,Disabled people,GCE A level or equivalent,19
July 2013 to June 2014,Disabled people,GCSE grades C and higher or equivalent,22
July 2013 to June 2014,Disabled people,Other qualification,13
July 2013 to June 2014,Disabled people,No qualification,21.6
July 2013 to June 2014,Non-disabled people,Degree or equivalent,31.9
July 2013 to June 2014,Non-disabled people,Higher Education,9.7
July 2013 to June 2014,Non-disabled people,GCE A level or equivalent,21.4
July 2013 to June 2014,Non-disabled people,GCSE grades C and higher or equivalent,20.5
July 2013 to June 2014,Non-disabled people,Other qualification,9.4
July 2013 to June 2014,Non-disabled people,No qualification,7.2
July 2014 to June 2015,Disabled people,Degree or equivalent,16.9
July 2014 to June 2015,Disabled people,Higher Education,8.8
July 2014 to June 2015,Disabled people,GCE A level or equivalent,19.4
July 2014 to June 2015,Disabled people,GCSE grades C and higher or equivalent,22.7
July 2014 to June 2015,Disabled people,Other qualification,12.4
July 2014 to June 2015,Disabled people,No qualification,19.8
July 2014 to June 2015,Non-disabled people,Degree or equivalent,33.3
July 2014 to June 2015,Non-disabled people,Higher Education,10
July 2014 to June 2015,Non-disabled people,GCE A level or equivalent,20.9
July 2014 to June 2015,Non-disabled people,GCSE grades C and higher or equivalent,19.7
July 2014 to June 2015,Non-disabled people,Other qualification,9.2
July 2014 to June 2015,Non-disabled people,No qualification,6.9
July 2015 to June 2016,Disabled people,Degree or equivalent,17.9
July 2015 to June 2016,Disabled people,Higher Education,8.5
July 2015 to June 2016,Disabled people,GCE A level or equivalent,19.6
July 2015 to June 2016,Disabled people,GCSE grades C and higher or equivalent,23.1
July 2015 to June 2016,Disabled people,Other qualification,12.3
July 2015 to June 2016,Disabled people,No qualification,18.7
July 2015 to June 2016,Non-disabled people,Degree or equivalent,34.6
July 2015 to June 2016,Non-disabled people,Higher Education,9.6
July 2015 to June 2016,Non-disabled people,GCE A level or equivalent,20.7
July 2015 to June 2016,Non-disabled people,GCSE grades C and higher or equivalent,19.4
July 2015 to June 2016,Non-disabled people,Other qualification,9.1
July 2015 to June 2016,Non-disabled people,No qualification,6.6
July 2016 to June 2017,Disabled people,Degree or equivalent,19.3
July 2016 to June 2017,Disabled people,Higher Education,8.5
July 2016 to June 2017,Disabled people,GCE A level or equivalent,19.8
July 2016 to June 2017,Disabled people,GCSE grades C and higher or equivalent,23.4
July 2016 to June 2017,Disabled people,Other qualification,11.9
July 2016 to June 2017,Disabled people,No qualification,17.2
July 2016 to June 2017,Non-disabled people,Degree or equivalent,35.7
July 2016 to June 2017,Non-disabled people,Higher Education,9.3
July 2016 to June 2017,Non-disabled people,GCE A level or equivalent,20.8
July 2016 to June 2017,Non-disabled people,GCSE grades C and higher or equivalent,19.2
July 2016 to June 2017,Non-disabled people,Other qualification,8.8
July 2016 to June 2017,Non-disabled people,No qualification,6.2
July 2017 to June 2018,Disabled people,Degree or equivalent,20.1
July 2017 to June 2018,Disabled people,Higher Education,8.8
July 2017 to June 2018,Disabled people,GCE A level or equivalent,19.7
July 2017 to June 2018,Disabled people,GCSE grades C and higher or equivalent,23.1
July 2017 to June 2018,Disabled people,Other qualification,11.3
July 2017 to June 2018,Disabled people,No qualification,17
July 2017 to June 2018,Non-disabled people,Degree or equivalent,36.1
July 2017 to June 2018,Non-disabled people,Higher Education,9.1
July 2017 to June 2018,Non-disabled people,GCE A level or equivalent,21
July 2017 to June 2018,Non-disabled people,GCSE grades C and higher or equivalent,19
July 2017 to June 2018,Non-disabled people,Other qualification,8.7
July 2017 to June 2018,Non-disabled people,No qualification,6.2
July 2018 to June 2019,Disabled people,Degree or equivalent,21.8
July 2018 to June 2019,Disabled people,Higher Education,9
July 2018 to June 2019,Disabled people,GCE A level or equivalent,19.5
July 2018 to June 2019,Disabled people,GCSE grades C and higher or equivalent,23.2
July 2018 to June 2019,Disabled people,Other qualification,10.4
July 2018 to June 2019,Disabled people,No qualification,16.1
July 2018 to June 2019,Non-disabled people,Degree or equivalent,38
July 2018 to June 2019,Non-disabled people,Higher Education,8.8
July 2018 to June 2019,Non-disabled people,GCE A level or equivalent,20.4
July 2018 to June 2019,Non-disabled people,GCSE grades C and higher or equivalent,18.4
July 2018 to June 2019,Non-disabled people,Other qualification,8.4
July 2018 to June 2019,Non-disabled people,No qualification,6
July 2019 to June 2020,Disabled people,Degree or equivalent,23
July 2019 to June 2020,Disabled people,Higher Education,8.8
July 2019 to June 2020,Disabled people,GCE A level or equivalent,19.8
July 2019 to June 2020,Disabled people,GCSE grades C and higher or equivalent,23.2
July 2019 to June 2020,Disabled people,Other qualification,9.9
July 2019 to June 2020,Disabled people,No qualification,15.2
July 2019 to June 2020,Non-disabled people,Degree or equivalent,39.7
July 2019 to June 2020,Non-disabled people,Higher Education,8.9
July 2019 to June 2020,Non-disabled people,GCE A level or equivalent,20.4
July 2019 to June 2020,Non-disabled people,GCSE grades C and higher or equivalent,18
July 2019 to June 2020,Non-disabled people,Other qualification,7.6
July 2019 to June 2020,Non-disabled people,No qualification,5.4
July 2020 to June 2021,Disabled people,Degree or equivalent,24.9
July 2020 to June 2021,Disabled people,Higher Education,8.3
July 2020 to June 2021,Disabled people,GCE A level or equivalent,20.6
July 2020 to June 2021,Disabled people,GCSE grades C and higher or equivalent,23.3
July 2020 to June 2021,Disabled people,Other qualification,9.6
July 2020 to June 2021,Disabled people,No qualification,13.3
July 2020 to June 2021,Non-disabled people,Degree or equivalent,42.7
July 2020 to June 2021,Non-disabled people,Higher Education,8.6
July 2020 to June 2021,Non-disabled people,GCE A level or equivalent,19.7
July 2020 to June 2021,Non-disabled people,GCSE grades C and higher or equivalent,17.4
July 2020 to June 2021,Non-disabled people,Other qualification,7
July 2020 to June 2021,Non-disabled people,No qualification,4.6
Unweighted sample 2020/21,Disabled people,Degree or equivalent,5427
Unweighted sample 2020/21,Disabled people,Higher Education,2053
Unweighted sample 2020/21,Disabled people,GCE A level or equivalent,4541
Unweighted sample 2020/21,Disabled people,GCSE grades C and higher or equivalent,5132
Unweighted sample 2020/21,Disabled people,Other qualification,1877
Unweighted sample 2020/21,Disabled people,No qualification,2805
Unweighted sample 2020/21,Non-disabled people,Degree or equivalent,32328
Unweighted sample 2020/21,Non-disabled people,Higher Education,7862
Unweighted sample 2020/21,Non-disabled people,GCE A level or equivalent,16365
Unweighted sample 2020/21,Non-disabled people,GCSE grades C and higher or equivalent,14739
Unweighted sample 2020/21,Non-disabled people,Other qualification,4818
Unweighted sample 2020/21,Non-disabled people,No qualification,3663
